bva_id,bva_doi,bva_year,bva_author,bva_title,bva_organism,citing_doi,citing_year,citing_author,citing_title,citing_topic,species_match,historiographic,type
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1111/j.1469-185x.1931.tb01022.x,1931,Beatrice Hirsch,"THE THEORY OF FIELDS OF RESTITUTION, WITH SPECIAL REFERENCE TO THE PHENOMENA OF SECRETION",Origins and Evolution of Life,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf00593029,1935,Dietrich Bodenstein,Beintransplantationen an Lepidopterenraupen,Entomological Studies and Ecology,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1016/b978-1-4831-9948-1.50007-3,1961,R. J. Goss,Regeneration of Vertebrate Appendages,Bone fractures and treatments,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/978-3-642-94649-3_7,1955,Martin Lüscher,Die Regeneration in der Zoologie,Environmental Science and Technology,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf01380618,1933,Dietrich Bodenstein,Beintransplantationen an Lepidopterenraupen II,Entomological Studies and Ecology,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jez.1401680402,1968,Jean C. Oberpriller,"The action of x‐irradiation on the regeneration field of the forelimb of the adult newt, <i>Diemictylus viridescens</i>,",Animal Genetics and Reproduction,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/jez.1401330109,1956,Richard J. Goss,The unification of regenerates from symmetrically duplicated forelimbs,Animal Genetics and Reproduction,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/978-3-662-41090-5_16,1928,O. Mangold,Entwicklungsmechanik der Tiere,Digestive system and related health,phenomenon_only,False,book-chapter
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02251936,1928,H. Kolbow,Experimentell verursachte Bildung von Armen aus ursprünglichem Beinmaterial bei Triton,Mineralogy and Gemology Studies,same_genus,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf02252019,1928,Franz Mutscheller,Regenerationsversuche an Regenwurmtransplantaten],Organ and Tissue Transplantation Research,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf01380624,1972,Horst Bohn,The determination of the symmetry properties in the larval legs of cockroaches (blattaria),Insect and Arachnid Ecology and Behavior,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1002/ar.1090400303,1928,F. H. Swett,Experiments in splitting the regenerating limb bud,Congenital limb and hand anomalies,phenomenon_only,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1007/bf00580386,1930,Leo Abolinš,Die Regeneration der am Fibularrande verstümmelten Beine bei Triton cristatus Laur,Tree Root and Stability Studies,same_genus,False,article
9,10.1007/bf02079022,1926,Weiss,Ganzregenerate aus Halbem Extremitätenquerschnitt,Triton,10.1242/dev.6.3.384,1958,D. R. Newth,On Regeneration after the Amputation of Abnormal Structures,Congenital limb and hand anomalies,same_genus_modern,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf02145237,1929,Paul Weiß,Erzwingung elementarer Strukturverschiedenheiten am in vitro wachsenden Gewebe,Cellular Mechanics and Interactions,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00592996,1935,L. W. Poležajew,Über die Rolle des Epithels in den anfänglichen Entwicklungsstadien einer Regenerationsanlage der Extremität beim Axolotl,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1002/jez.1401220203,1953,Harold W. Manner,The origin of the blastema and of new tissues in regenerating forelimbs of adult Triturus viridescens viridescens (Rafinesque),Fish Ecology and Management Studies,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00573763,1932,Lore Rose David,"Das Verhalten von Extremit�tenregeneraten des weissen und pigmentierten Axolotl bei heteroplastischer, heterotoper und orthotoper Transplantation und sukzessiver Regeneration",Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00579866,1934,G�nter Schwidefsky,Entwicklung und Determination der Extremit�tenregenerate bei den Molchen,Orthopaedic implants and arthroplasty,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00580393,1930,Paul Weiß,Potenzpr�fung am Regenerationsblastem.,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf02080952,1927,Paul Weiß,Potenzprüfung am Regenerationsblastem,Tissue Engineering and Regenerative Medicine,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf02110968,1929,Wilhelm Goetsch,Das Regenerationsmaterial und seine experimentelle Beeinflussung. (Versuch zur Einheitlichen Beurteilung der regenerativen Erscheinungen.),Engineering and Materials Science Studies,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/978-3-642-94649-3_7,1955,Martin Lüscher,Die Regeneration in der Zoologie,Environmental Science and Technology,phenomenon_only,False,book-chapter
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00575216,1968,Hermann Josef Anton,Autoradiographische Untersuchungen �ber den Eiwei�stoffwechsel bei der Extremit�tenregeneration der Urodelen,Exercise and Physiological Responses,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/978-3-662-41090-5_16,1928,O. Mangold,Entwicklungsmechanik der Tiere,Digestive system and related health,phenomenon_only,False,book-chapter
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00575298,1949,Hildegard Waechter,Regeneration eines kleinen St�ckes der ventralen Bauchwand bei erwachsenen Molchen,Bone fractures and treatments,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf02110961,1929,E. Korschelt,Zur Frage der morphogenetischen Induktion nach Transplantation,Medical and Health Sciences Research,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00580387,1930,Henny Burchardt,Regeneration und Symmetrie durch den Urodelenk�rper esteckter Gliedmassen,Urological Disorders and Treatments,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00583350,1930,K Ponse,La notion de territoire et les excroissances digitales du Crapaud,Hume's philosophy and hair distribution,phenomenon_only,False,article
10,10.1007/bf02079102,1927,Weiss,Die Herkunft der Haut im Extremitätenregenerat,Birds,10.1007/bf00576393,1940,Charlotte Stief,Untersuchungen �ber die Formbildung der Hautdr�sen bei Amphibien mit Hilfe heteroplastischer Transplantation zwischen Triton taeniatus und cristatus,Reconstructive Facial Surgery Techniques,phenomenon_only,False,article
11,10.1007/bf02080952,1927,Weiss,Potenzprüfung am Regenerationsblastem,,10.1111/j.1432-0436.1984.tb01403.x,1984,David L. Stocum,The urodele limb regeneration blastema,Urological Disorders and Treatments,phenomenon_only,False,review
11,10.1007/bf02080952,1927,Weiss,Potenzprüfung am Regenerationsblastem,,10.1002/jez.1401290310,1955,Johannes Holtfreter,Transformation of a tail into a limb or gill‐like structures,Silk-based biomaterials and applications,phenomenon_only,False,article
11,10.1007/bf02080952,1927,Weiss,Potenzprüfung am Regenerationsblastem,,10.1111/j.1463-6395.1928.tb01165.x,1928,Sven Hörstadius,ÜBER DIE DETERMINATION DES KEIMES BEI ECHINODERMEN,Animal Ecology and Behavior Studies,phenomenon_only,False,article
11,10.1007/bf02080952,1927,Weiss,Potenzprüfung am Regenerationsblastem,,10.1016/0012-1606(75)90246-8,1975,David L. Stocum,Regulation after proximal or distal transposition of limb regeneration blastemas and determination of the proximal boundary of the regenerate,Developmental Biology and Gene Regulation,phenomenon_only,False,article
